StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,subjectid,ICAR_ln1,ICAR_mx2,ICAR_vr1,ICAR_mx3,ICAR_vr2,ICAR_r3d1,ICAR_r3d2,ICAR_vr3,ICAR_r3d3,ICAR_ln3,ICAR_r3d4,ICAR_vr4,ICAR_mx4,ICAR_ln2,ICAR_ln4,ICAR_mx1,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,מספר משתתף:,"בסדרת האותיות הבאה, איזו אות באה לאחר מכן?

 

מ, ס, י, ל, ח ...",אנא ציינ/י מהי התשובה הטובה ביותר להשלמת האיור שלהלן:,"יהושע בן 12 ואחותו גדולה ממנו פי שלושה. כשיהושע יהיה בן 23, בת כמה תהיה אחותו?



סמנ/י את תשובתך:",אנא ציינ/י מהי התשובה הטובה ביותר להשלמת האיור שלהלן:,"איזה מספר הוא חמישית מתוך רביעית מתוך תשיעית מ-900?



סמנ/י את תשובתך:",לכל הקוביות מטה יש תמונה שונה בכל צד. בחר/י את התשובה שמייצגת סיבוב של הקובייה שכותרתה X:,לכל הקוביות מטה יש תמונה שונה בכל צד. בחר/י את התשובה שמייצגת סיבוב של הקובייה שכותרתה X:,"אם היום אחרי מחר הוא יומיים לפני יום חמישי אז איזה יום היום?
סמנ/י את תשובתך:",לכל הקוביות מטה יש תמונה שונה בכל צד. בחר/י את התשובה שמייצגת סיבוב של הקובייה שכותרתה X:,"בסדרת האותיות הבאה, איזו אות באה לאחר מכן? 

 

ז, י, ל, ס, פ...
סמנ/י את תשובתך:",לכל הקוביות מטה יש תמונה שונה בכל צד. בחר/י את התשובה שמייצגת סיבוב של הקובייה שכותרתה X:,"משה גבוה יותר מדויד ויוסף נמוך יותר ממשה. איזה מהמשפטים הבאים יהיה המדויק ביותר?
סמנ/י את תשובתך:",אנא ציינ/י מהי התשובה הטובה ביותר להשלמת האיור שלהלן:,"בסדרת האותיות הבאה, איזו אות באה לאחר מכן? 

 

ה, ו, ח, כ, ס...
סמנ/י את תשובתך:","בסדרת האותיות הבאה, איזו אות באה לאחר מכן? 

 

צ, מ, ט, ו, ד...
סמנ/י את תשובתך:",אנא ציינ/י מהי התשובה הטובה ביותר להשלמת האיור שלהלן:,Score
"{""ImportId"":""startDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""SC_9BvyEDuq30Os4Oa""}"
13/12/2023 18:33,14/12/2023 9:14,0,2.52.75.169,100,52846,1,14/12/2023 9:14,R_2wsHfjWjuVFOEKZ,,,,,32.0803,34.7805,anonymous,HE,uT2p5Kxu,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,10
15/12/2023 18:44,15/12/2023 19:01,0,79.183.188.134,100,1018,1,15/12/2023 19:01,R_4wHqGNt7d4OMctl,,,,,32.0803,34.7805,anonymous,HE,V25QLT4f,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,15
15/12/2023 19:02,15/12/2023 19:02,0,79.183.188.134,6,9,0,22/12/2023 19:02,R_4c6ho4eqxJ18LHW,,,,,,,anonymous,HE,V25QLT4f,,,,,,,,,,,,,,,,,
08/01/2024 23:48,09/01/2024 19:12,0,213.8.193.243,100,69875,1,09/01/2024 19:12,R_4ZHWDRQjW8eNDpg,,,,,32.0803,34.7805,anonymous,HE,lgAYMdeU,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,7
04/02/2024 11:36,04/02/2024 11:46,0,192.114.23.237,100,604,1,04/02/2024 11:46,R_2BrmsPvcbM5XnSZ,,,,,32.0803,34.7805,anonymous,HE,vCVEgzru,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,9
06/02/2024 17:44,06/02/2024 20:36,0,5.29.101.191,100,10324,1,06/02/2024 20:36,R_5goSX51Kvph6hYR,,,,,31.7674,35.2186,anonymous,HE,sFcoQxyJ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
13/02/2024 15:24,13/02/2024 15:43,0,192.114.23.229,100,1117,1,13/02/2024 15:43,R_4CVOugI93oMBawm,,,,,32.0803,34.7805,anonymous,HE,od8GVpsB,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,8
05/03/2024 16:15,05/03/2024 16:44,0,176.12.229.160,100,1732,1,05/03/2024 16:44,R_8kurQMeeuNogqbf,,,,,32.0803,34.7805,anonymous,HE,onRQQXIH,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,12
05/03/2024 20:55,05/03/2024 21:10,0,93.172.237.120,100,900,1,05/03/2024 21:10,R_1VE165Ifq1WLS1l,,,,,31.7674,35.2186,anonymous,HE,EVhG6aHF,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,9
06/03/2024 11:40,06/03/2024 11:54,0,192.114.23.233,100,841,1,06/03/2024 11:54,R_2JJhFkWVncPblEj,,,,,32.0803,34.7805,anonymous,HE,eC06dywT,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,8
06/03/2024 15:43,06/03/2024 15:54,0,109.186.33.49,100,655,1,06/03/2024 15:54,R_4YyUqDm2QucUdSL,,,,,32.0803,34.7805,anonymous,HE,1nHtC4ay,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5
05/03/2024 16:44,05/03/2024 16:44,0,176.12.229.160,11,9,0,12/03/2024 16:44,R_4PdqlBdOsCJlYVS,,,,,,,anonymous,HE,onRQQXIH,,,,,,,,,,,,,,,,,
05/03/2024 21:10,05/03/2024 21:10,0,93.172.237.120,11,17,0,12/03/2024 21:10,R_5HcKw47Itcpcf5v,,,,,,,anonymous,HE,EVhG6aHF,,,,,,,,,,,,,,,,,
